식품명,대표식품코드,대표식품명,식품중분류코드,식품소분류코드,에너지(kcal),단백질(g),당류(g),나트륨(mg),포화지방산(g),카페인(mg),업체명
과ㆍ채주스_골드키위 주스,20716,과ㆍ채주스,2071600,207160000,58,0.18,13.53,5,0,0,이디야
과ㆍ채주스_기운내라임 병음료,20716,과ㆍ채주스,2071600,207160000,47,0.53,11.58,3,0,0,스타벅스
과ㆍ채주스_놀라운망고,20716,과ㆍ채주스,2071600,207160000,32,0.03,8.03,0,0.03,0,커피에반하다
과ㆍ채주스_놀라운청포도,20716,과ㆍ채주스,2071600,207160000,32,0.01,8.88,0,0.03,0,커피에반하다
과ㆍ채주스_놀라운패션후르츠,20716,과ㆍ채주스,2071600,207160000,31,0.01,8.25,0,0.03,0,커피에반하다
과ㆍ채주스_딸기 주스,20716,과ㆍ채주스,2071600,207160000,36,0.96,2.41,0,0,0,토프레소
과ㆍ채주스_딸기바나나 주스,20716,과ㆍ채주스,2071600,207160000,41,0.76,5.31,5,0.24,0,메가커피
과ㆍ채주스_딸기 주스 병음료,20716,과ㆍ채주스,2071600,207160000,58,0,13.16,16,0,0,스타벅스
과ㆍ채주스_딸기 주스,20716,과ㆍ채주스,2071600,207160000,27,0.17,3.86,0,0,0,메가커피
과ㆍ채주스_딸기 주스,20716,과ㆍ채주스,2071600,207160000,63,0.42,14.31,1,0,0,이디야
과ㆍ채주스_딸기 주스,20716,과ㆍ채주스,2071600,207160000,90,0.28,20.85,7,0,0,커피에반하다
과ㆍ채주스_리얼 수박 주스,20716,과ㆍ채주스,2071600,207160000,45,0.48,8.92,1,0,0,토프레소
과ㆍ채주스_리얼수박 주스,20716,과ㆍ채주스,2071600,207160000,31,0.56,6.48,5,0,0,커피에반하다
과ㆍ채주스_망고 주스 (J),20716,과ㆍ채주스,2071600,207160000,27,0.15,5.07,5,0,0,공차
과ㆍ채주스_망고 주스 (L),20716,과ㆍ채주스,2071600,207160000,27,0,5.07,5,0,0,공차
과ㆍ채주스_망고 주스,20716,과ㆍ채주스,2071600,207160000,45,0,9.4,9,0,0,토프레소
과ㆍ채주스_망고 주스 병음료,20716,과ㆍ채주스,2071600,207160000,62,0.53,12.11,8,0,0,스타벅스
과ㆍ채주스_밀싹 케일 주스,20716,과ㆍ채주스,2071600,207160000,29,0.24,5.3,4,0,0,토프레소
과ㆍ채주스_비트 사과 주스,20716,과ㆍ채주스,2071600,207160000,31,0.24,5.54,7,0,0,토프레소
과ㆍ채주스_생과일 수박 주스,20716,과ㆍ채주스,2071600,207160000,33,0.48,5.56,6,0,0,이디야
과ㆍ채주스_생과일 토마토 주스,20716,과ㆍ채주스,2071600,207160000,31,0.48,5.07,9,0,0,이디야
과ㆍ채주스_수박머스캣 소다,20716,과ㆍ채주스,2071600,207160000,66,0,11.33,0,0,0,토프레소
과ㆍ채주스_수박 주스,20716,과ㆍ채주스,2071600,207160000,25,0.24,4.67,3,0.02,0,메가커피
과ㆍ채주스_수박파인 펀치,20716,과ㆍ채주스,2071600,207160000,73,0.48,13.25,1,0,0,토프레소
과ㆍ채주스_오곡바나나 주스,20716,과ㆍ채주스,2071600,207160000,68,1.91,3.79,9,0.59,0,메가커피
과ㆍ채주스_완전딸기 주스,20716,과ㆍ채주스,2071600,207160000,36,0.32,6.88,1,0,0,빽다방
과ㆍ채주스_완전망고 주스,20716,과ㆍ채주스,2071600,207160000,39,0.32,5.92,1,0,0,빽다방
과ㆍ채주스_초코바나나 주스,20716,과ㆍ채주스,2071600,207160000,62,1.37,6.01,22,0.47,4.57,메가커피
과ㆍ채주스_토마토 주스 병음료,20716,과ㆍ채주스,2071600,207160000,37,0.53,8.42,63,0,0,스타벅스
과ㆍ채주스_파이팅 청귤 병음료,20716,과ㆍ채주스,2071600,207160000,50,0.53,11.58,3,0,0,스타벅스
과ㆍ채주스_파인 자몽 주스,20716,과ㆍ채주스,2071600,207160000,25,0.24,4.34,57,0,0,토프레소
과ㆍ채주스_한라봉주스 병음료,20716,과ㆍ채주스,2071600,207160000,41,0.26,8.42,5,0,0,스타벅스
과ㆍ채주스_한방에 쭉 감당 병음료,20716,과ㆍ채주스,2071600,207160000,53,0.53,12.11,5,0,0,스타벅스
과ㆍ채주스_햇사과 주스 병음료,20716,과ㆍ채주스,2071600,207160000,59,0.11,14.21,5,0,0,스타벅스
과ㆍ채주스_홍시 주스,20716,과ㆍ채주스,2071600,207160000,57,0.12,13.77,7,0,0,이디야
과ㆍ채주스_딸기 바나나 주스,20716,과ㆍ채주스,2071600,207160000,68,1.69,11.48,19,0.89,0,블루샥
과ㆍ채주스_딸기 주스,20716,과ㆍ채주스,2071600,207160000,34,0.2,7.59,0,0,0,팔공티
과ㆍ채주스_딸기 주스 (R),20716,과ㆍ채주스,2071600,207160000,54,0.35,12.83,0,0.02,0,커피:니
과ㆍ채주스_리얼 수박 주스,20716,과ㆍ채주스,2071600,207160000,36,0.3,8.29,2,0,0,블루샥
과ㆍ채주스_망고 주스,20716,과ㆍ채주스,2071600,207160000,94,0.13,9.81,7,0.11,0,팔공티
과ㆍ채주스_망고 주스 (R),20716,과ㆍ채주스,2071600,207160000,56,0.2,11.7,0,0.03,0,커피:니
과ㆍ채주스_바나나 주스,20716,과ㆍ채주스,2071600,207160000,61,1.78,8.25,16,0.99,0,청자다방
과ㆍ채주스_자몽 주스,20716,과ㆍ채주스,2071600,207160000,24,0,5.35,9,0,0,달콤
과ㆍ채주스_자몽 주스 (R),20716,과ㆍ채주스,2071600,207160000,26,0.13,6.13,1,0,0,커피:니
과ㆍ채주스_키위 주스,20716,과ㆍ채주스,2071600,207160000,32,0.52,5.87,5,0.01,0,청자다방
과ㆍ채주스_키위 주스 (R),20716,과ㆍ채주스,2071600,207160000,92,0.35,21.85,1,0.01,0,커피:니
과ㆍ채주스_토마토 주스,20716,과ㆍ채주스,2071600,207160000,21,0.61,3.77,5,0.02,0,청자다방
과ㆍ채주스_한라봉 주스 (R),20716,과ㆍ채주스,2071600,207160000,45,0.08,9.23,0,0.13,0,커피:니
귤차_제주청귤 블라썸 핫(HOT),20717,귤차,2071700,207170000,49,0.14,11.02,1,0.02,0,이디야
귤차_제주청귤 오리지널 핫(HOT),20717,귤차,2071700,207170000,53,0.11,12.27,1,0.02,0,이디야
귤차_제주청귤차,20717,귤차,2071700,207170000,35,0.17,7.29,15,0,0,청자다방
귤차_청귤블랙티 아이스(ICED) (L),20717,귤차,2071700,207170000,25,0.07,5.87,0,0,0,아임일리터
귤차_청귤블랙티 아이스(ICED) (M),20717,귤차,2071700,207170000,27,0.08,6.26,0,0,0,아임일리터
귤차_청귤블랙티 핫(HOT) (L),20717,귤차,2071700,207170000,25,0.07,5.87,0,0,0,아임일리터
귤차_청귤블랙티 핫(HOT) (M),20717,귤차,2071700,207170000,27,0.08,6.26,0,0,0,아임일리터
